"","INSTNM","STABBR","ACCREDAGENCY","HIGHDEG","ADM_RATE_ALL","SAT_AVG_ALL","PCIP14","UGDS","COSTT4_A","COSTT4_P","TUITIONFEE_IN","TUITIONFEE_OUT","TUITFTE","INEXPFTE","AVGFACSAL","PCTFLOAN","PAR_ED_PCT_PS","DEP_INC_AVG","DEBT_MDN","AGE_ENTRY","FEMALE","VETERAN","FAMINC","GRADS"
"7121","Strayer University-North Raleigh Campus","NC","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7122","Strayer University-Greensboro Campus","NC","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7123","Strayer University-Huntersville Campus","NC","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7124","Strayer University-South Raleigh Campus","NC","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7125","Strayer University-Willingboro Campus","NJ","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7126","Strayer University-Lawrenceville","NJ","NULL",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7127","Strayer University-Piscataway","NJ","Middle States Commission on Higher Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","12975","NULL","NULL","NULL","NULL","NULL","0.4627059662","27790.69863","9500","33.360801106","0.7508344853","0.0144306956","23781.134597","NULL"
"7128","Cambridge Institute of Allied Health & Technology","GA","Accrediting Bureau of Health Education Schools",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.5535714286","35006.25","14250","30.303249097","0.821299639","PrivacySuppressed","28777.689531","NULL"
"7129","Professional Hands Institute","FL","Council on Occupational Education",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2841726619","23274.647059","6073","38.2","0.5483870968","PrivacySuppressed","16199.932258","NULL"
"7130","Celebrity School of Beauty - Hialeah","FL","National Accrediting Commission of Career Arts and Sciences",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2619926199","20585.775","6223","33.235827664","0.79138322","PrivacySuppressed","15405.340136","NULL"
"7131","Utah County Campus","UT","National Accrediting Commission of Career Arts and Sciences",0,"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.6090225564","74907.12069","6333","26.2","PrivacySuppressed","PrivacySuppressed","42897.873333","NULL"
